Title, Character, Medium, Genre, Role Scale, Original Language
Street Fighter 6, Luke, Video Game, Fighting, Lead, Japanese
ENA: Dream BBQ, Salesperson, Video Game, Surreal, Lead, English
Your Friendly Neighbourhood Spider-Man, Amadeus Cho, Animated TV, Superhero, Side, English
Demon Slayer, Zenitsu, Anime TV, Action, Side, Japanese
Demon Slayer - The Movie: The Mugen Train, Zenitsu, Anime Movie, Action, Side, Japanese
Demon Slayer: Mugen Train Arc, Zenitsu, Anime TV, Action, Side, Japanese
Demon Slayer: Entertainment District Arc, Zenitsu, Anime TV, Action, Side, Japanese
Solo Leveling, Sung Jinwoo, Anime TV, Action, Lead, Korean
Solo Leveling: ARISE, Sung Jinwoo, Video Game, Action, Lead, Korean
Date Everything, xxXShadowl0rd420Xxx, Video Game, Romance, Side, English
Ne Zha 2, Ao Bing, Animated Movie, Action, Side, Mandarin
Bleach Rebirth of Souls, Jushiro Ukitake, Video Game, Action, Side, Japanese
Bleak: Thousand Year Blood War, Jushiro Ukitake, Anime TV, Action, Side, Japanese
Like a Dragon: Infinite Wealth, Eiji Mitamura, Video Game, Action, Side, Japanese
Doobus Goobus, Luke, Animated TV, Comedy, Main, English
System Shock, Cyborg Drone, Video Game, Action, Background, English
Star Wars: The Bad Batch, Miner #2, Animated TV, Action, Background, English
Marvel Rivals, Daredevil, Video Game, Superhero, Lead, English
DC Heroes United, Batman, Video Game, Superhero, Lead, English
The Callisto Protocol, voice, Video Game, Horror, Background, English
Spy X Family, Passerby, Anime TV, Comedy, Background, English
